id,title,album,,,,,,,,,
1,ガラスのブルース,FLAME VEIN,,,,,,,,,
2,くだらない唄,FLAME VEIN,,,,,,,,,
3,アルエ,FLAME VEIN,,,,,,,,,
4,リトルブレイバー,FLAME VEIN,,,,,,,,,
5,ノーヒットノーラン,FLAME VEIN,,,,,,,,,
6,とっておきの唄,FLAME VEIN,,,,,,,,,
7,ナイフ,FLAME VEIN,,,,,,,,,
8,バトルクライ,FLAME VEIN,,,,,,,,,
9,Opening,THE LIVING DEAD,,,,,,,,,
10,グングニル,THE LIVING DEAD,,,,,,,,,
11,ベストピクチャー,THE LIVING DEAD,,,,,,,,,
12,続・くだらない唄,THE LIVING DEAD,,,,,,,,,
13,ランプ,THE LIVING DEAD,,,,,,,,,
14,K,THE LIVING DEAD,,,,,,,,,
15,リリィ,THE LIVING DEAD,,,,,,,,,
16,Ever lasting lie,THE LIVING DEAD,,,,,,,,,
17,グロリアスレボリューション,THE LIVING DEAD,,,,,,,,,
18,Ending,THE LIVING DEAD,,,,,,,,,
19,Stage of the ground,jupiter,,,,,,,,,
20,天体観測,jupiter,,,,,,,,,
21,Title of mine,jupiter,,,,,,,,,
22,キャッチボール,jupiter,,,,,,,,,
23,ハルジオン,jupiter,,,,,,,,,
24,ベンチとコーヒー,jupiter,,,,,,,,,
25,メロディーフラッグ,jupiter,,,,,,,,,
26,ベル,jupiter,,,,,,,,,
27,ダイヤモンド,jupiter,,,,,,,,,
28,ダンデライオン,jupiter,,,,,,,,,
29,スノースマイル,「スノースマイル」,,,,,,,,,
30,ホリデイ,「スノースマイル」,,,,,,,,,
31,ロストマン,「ロストマン/sailing day」,,,,,,,,,
32,sailing day,「ロストマン/sailing day」,,,,,,,,,
